depth,rewards match score,fidelity,expected depth score,empirical uniqueness ratio,exact uniqueness ratio,node count score,completeness ratio score,importance score,significant splits score,useful nodes,path threshold score,trace threshold score,overall interpretability score,overall match score,combined score
1,0.7288,0.8195,0.0,1.0,0.5,0.25,0.0,1.0,1.0,1.0,1.0,1.0,0.725,0.7742,0.7496
2,0.7033,0.8439,0.0,1.0,0.6667,0.125,0.0,0.85,1.0,1.0,1.0,1.0,0.7975,0.7736,0.7855
3,0.7263,0.8798,0.0,1.0,0.75,0.0625,0.0,0.7338,1.0,1.0,0.4504,0.4106,0.7657,0.8031,0.7844
4,0.6941,0.879,0.0516,0.7043,0.5744,0.0333,0.0645,0.7639,1.0,1.0,0.2027,0.2197,0.804,0.7866,0.7953
5,0.6739,0.892,0.0,0.7557,0.625,0.0156,0.0,0.7395,0.9355,0.9677,0.0951,0.081,0.859,0.783,0.821
